agency_primary,affil_id,affiliation
department of agriculture,130048148,agricultural research service geneva
department of agriculture,105232111,apache sitgreaves national forest
department of agriculture,121020284,apache sitgreaves national forest
department of agriculture,101645131,arapaho roosevelt national forests pawnee national grassland
department of agriculture,100571752,ashley national forest
department of agriculture,101937505,beaverhead deerlodge national forest
department of agriculture,105810572,bighorn national forest
department of agriculture,101290200,bitterroot national forest
department of agriculture,60032384,black hills national forest
department of agriculture,109683562,boise national forest
department of agriculture,121335016,botanist with the us forest service
department of agriculture,101670591,carson national forest
department of agriculture,108808096,center for nutrition policy and promotion
department of agriculture,100814356,chequamegon nicolet national forest
department of agriculture,119730003,chequamegon nicolet national forest
department of agriculture,125236966,chequamegon nicolet national forest
department of agriculture,131960315,chippewa national forest
department of agriculture,108269206,chugach national forest
department of agriculture,131067704,chugach national forest avalanche center
department of agriculture,106428325,cibola national forest
department of agriculture,128202167,cibola national forest
department of agriculture,101674153,cleveland national forest
department of agriculture,60074837,columbia ecological services office
department of agriculture,122934940,colville national forest
department of agriculture,130451332,colville national forest
department of agriculture,130554037,croatan national forest
department of agriculture,108498327,custer gallatin national forest
department of agriculture,127914673,custer gallatin national forest
department of agriculture,101030855,custer national forest
department of agriculture,101219030,daniel boone national forest
department of agriculture,107150499,daniel boone national forest
department of agriculture,108788857,daniel boone national forest
department of agriculture,125889862,daniel boone national forest
department of agriculture,106453400,daniel k inouye us pacific basin agricultural research center
department of agriculture,60029223,eastern oregon agricultural research center
department of agriculture,125492346,economic research service of the usda
department of agriculture,100802395,eldorado national forest
department of agriculture,118354666,eldorado national forest
department of agriculture,126441869,federal department of agriculture
department of agriculture,100674559,flathead national forest
department of agriculture,122647450,formerly usda ars
department of agriculture,127146905,formerly usda ars
department of agriculture,60009911,francis marion and sumter national forests
department of agriculture,131486626,francis marion national forest
department of agriculture,109668312,gifford pinchot national forest
department of agriculture,100944393,green mountain and finger lakes national forest
department of agriculture,130159659,green mountain national forest
department of agriculture,119174259,helena lewis and clark national forest
department of agriculture,120530237,hiawatha national forest
department of agriculture,100728959,hoosier national forest
department of agriculture,100836872,humboldt toiyabe national forest
department of agriculture,112873564,humboldt toiyabe national forest
department of agriculture,127811101,humboldt toiyabe national forest
department of agriculture,118131657,huron manistee national forests
department of agriculture,123385027,huron manistee national forests
department of agriculture,122976637,institute of pacific islands forestry of us forest service
department of agriculture,105516842,international institute of tropical forestry
department of agriculture,60103639,jean mayer usda human nutrition research center on aging
department of agriculture,119448329,kaibab national forest
department of agriculture,101745655,klamath national forest
department of agriculture,114170989,lassen national forest
department of agriculture,101346724,lincoln national forest
department of agriculture,114298544,lincoln national forest
department of agriculture,101236572,los padres national forest
department of agriculture,124173547,los padres national forest
department of agriculture,116244278,malheur national forest
department of agriculture,130451168,malheur national forest
department of agriculture,121938656,manti la sal national forest
department of agriculture,102011945,mark twain national forest
department of agriculture,100796425,monongahela national forest
department of agriculture,101870924,mt baker snoqualmie national forest
department of agriculture,108382367,national agricultural library
department of agriculture,125244852,national agricultural statistical service
department of agriculture,106453687,national center for cool and coldwater aquaculture
department of agriculture,105349962,national clonal germplasm repository for citrus and dates
department of agriculture,109849290,national forest
department of agriculture,123502856,national forest system
department of agriculture,102033117,national forests in florida
department of agriculture,108191004,national laboratory for agriculture and the environment
department of agriculture,114674888,national laboratory for agriculture and the environment
department of agriculture,124395143,national soil erosion research laboratory
department of agriculture,124128993,national soil resource conservation service
department of agriculture,132524734,national tropical botanical garden
department of agriculture,60031735,national tropical botanical garden
department of agriculture,114122059,nez perce clearwater national forest
department of agriculture,123463152,nez perce clearwater national forest
department of agriculture,60024106,northern region us forest service
department of agriculture,101938148,ocala national forest
department of agriculture,126660699,okanogan wenatchee national forest
department of agriculture,100454612,olympic national forest
department of agriculture,101449306,ozark st francis national forests
department of agriculture,60007602,payette national forest
department of agriculture,126469993,pisgah national forest
department of agriculture,106293870,plant sciences institute usda ars beltsville
department of agriculture,100474049,plumas national forest
department of agriculture,131416601,qijian song usda ars
department of agriculture,124240563,rangeland management specialist on the uinta wasatch cache national forest
department of agriculture,131995581,research agricultural economist at usda economic research service
department of agriculture,128941071,research microbiologist of usda
department of agriculture,129310026,retired usda aphis
department of agriculture,124796875,rio grande national forest retired
department of agriculture,60091246,rogue river siskiyou national forest
department of agriculture,112801009,salmon challis national forest
department of agriculture,105913137,san bernardino national forest
department of agriculture,116677075,san bernardino national forest
department of agriculture,121870833,san juan national forest and tres rios field office
department of agriculture,127217624,santa fe national forest
department of agriculture,60023281,sea lamprey management program
department of agriculture,129996382,shawnee national forest
department of agriculture,100599529,siuslaw national forest
department of agriculture,130898398,six rivers national forest us forest service
department of agriculture,60019073,southern institute forest genetics
department of agriculture,60110412,southwest watershed research center
department of agriculture,60076945,superior national forest
department of agriculture,119945795,talladega national forest
department of agriculture,100615249,tongass national forest
department of agriculture,101024312,tongass national forest
department of agriculture,101413891,tongass national forest
department of agriculture,107856747,tongass national forest
department of agriculture,131451000,tongass national forest
department of agriculture,106148700,us forest products laboratory
department of agriculture,100395255,us forest service
department of agriculture,100428744,us forest service
department of agriculture,100449995,us forest service
department of agriculture,100451604,us forest service
department of agriculture,100461353,us forest service
department of agriculture,100476363,us forest service
department of agriculture,100532133,us forest service
department of agriculture,100579149,us forest service
department of agriculture,100592448,us forest service
department of agriculture,100658062,us forest service
department of agriculture,100772013,us forest service
department of agriculture,100900986,us forest service
department of agriculture,100940818,us forest service
department of agriculture,101100120,us forest service
department of agriculture,101358158,us forest service
department of agriculture,101702930,us forest service
department of agriculture,101734087,us forest service
department of agriculture,101773082,us forest service
department of agriculture,101821574,us forest service
department of agriculture,101870749,us forest service
department of agriculture,102036005,us forest service
department of agriculture,106349737,us forest service
department of agriculture,106431164,us forest service
department of agriculture,107954624,us forest service
department of agriculture,107988255,us forest service
department of agriculture,109586411,us forest service
department of agriculture,112080737,us forest service
department of agriculture,112365682,us forest service
department of agriculture,112423749,us forest service
department of agriculture,112665084,us forest service
department of agriculture,112788647,us forest service
department of agriculture,112795806,us forest service
department of agriculture,113194997,us forest service
department of agriculture,114154338,us forest service
department of agriculture,114469649,us forest service
department of agriculture,114674463,us forest service
department of agriculture,116149331,us forest service
department of agriculture,116769945,us forest service
department of agriculture,116777490,us forest service
department of agriculture,117166427,us forest service
department of agriculture,118681834,us forest service
department of agriculture,120291321,us forest service
department of agriculture,120457954,us forest service
department of agriculture,121081349,us forest service
department of agriculture,121448705,us forest service
department of agriculture,122171803,us forest service
department of agriculture,122291086,us forest service
department of agriculture,122928948,us forest service
department of agriculture,123390183,us forest service
department of agriculture,123395569,us forest service
department of agriculture,124432943,us forest service
department of agriculture,124440171,us forest service
department of agriculture,125252131,us forest service
department of agriculture,125450930,us forest service
department of agriculture,126061818,us forest service
department of agriculture,126076407,us forest service
department of agriculture,126672679,us forest service
department of agriculture,127148328,us forest service
department of agriculture,127165121,us forest service
department of agriculture,127279535,us forest service
department of agriculture,127283877,us forest service
department of agriculture,127697704,us forest service
department of agriculture,128058074,us forest service
department of agriculture,128244388,us forest service
department of agriculture,128258359,us forest service
department of agriculture,128469403,us forest service
department of agriculture,128507903,us forest service
department of agriculture,128510961,us forest service
department of agriculture,128511135,us forest service
department of agriculture,128675216,us forest service
department of agriculture,128780492,us forest service
department of agriculture,129107036,us forest service
department of agriculture,129761496,us forest service
department of agriculture,130043556,us forest service
department of agriculture,130680067,us forest service
department of agriculture,131789291,us forest service
department of agriculture,131789838,us forest service
department of agriculture,60003342,us forest service
department of agriculture,128256385,us forest service - region 5
department of agriculture,60007681,us forest service aldo leopold wilderness research institute
department of agriculture,60025189,us forest service boise aquatic sciences lab
department of agriculture,60020049,us forest service boise national forest
department of agriculture,60011959,us forest service bridger teton national forest
department of agriculture,60023249,us forest service center for bottomland hardwoods research
department of agriculture,127659511,us forest service center for landscape science
department of agriculture,125617723,us forest service fhp
department of agriculture,125617999,us forest service fhp
department of agriculture,125618041,us forest service fhp
department of agriculture,125618170,us forest service fhp
department of agriculture,60013275,us forest service forestry science lab
department of agriculture,60012076,us forest service gallatin national forest
department of agriculture,60022088,us forest service idaho panhandle national forests
department of agriculture,130337909,us forest service international institute of tropical forestry
department of agriculture,60071509,us forest service international institute of tropical forestry
department of agriculture,116553025,us forest service international programs
department of agriculture,131016720,us forest service international programs
department of agriculture,131513936,us forest service international programs
department of agriculture,123812936,us forest service international programs wood identification and screening center
department of agriculture,126369663,us forest service international programs wood identification and screening center
department of agriculture,60006631,us forest service kisatchie national forest
department of agriculture,60027566,us forest service la grande forestry and range sciences laboratory
department of agriculture,60005850,us forest service lolo national forest
department of agriculture,60071535,us forest service luquillo
department of agriculture,109859001,us forest service manti la sal national forest
department of agriculture,123301932,us forest service medicine bow routt national forests
department of agriculture,126243829,us forest service medicine bow routt national forests and thunder basin national grassland
department of agriculture,60091232,us forest service mt hood national forest
department of agriculture,107842762,us forest service national avalanche center
department of agriculture,60010838,us forest service north central research station
department of agriculture,60075868,us forest service northeastern research station morgantown
department of agriculture,100448403,us forest service northern research station
department of agriculture,101649704,us forest service northern research station
department of agriculture,101818892,us forest service northern research station
department of agriculture,108356056,us forest service northern research station
department of agriculture,113076936,us forest service northern research station
department of agriculture,115181387,us forest service northern research station
department of agriculture,117013778,us forest service northern research station
department of agriculture,60016539,us forest service northern research station
department of agriculture,128448835,us forest service on the flathead national forest
department of agriculture,60022541,us forest service ouachita national forest
department of agriculture,113030242,us forest service pacific northwest research station
department of agriculture,60003518,us forest service pacific northwest research station
department of agriculture,113986904,us forest service pacific southwest region
department of agriculture,121635008,us forest service pacific southwest research station
department of agriculture,123994585,us forest service pacific southwest research station
department of agriculture,125318427,us forest service pacific southwest research station
department of agriculture,127357402,us forest service pacific southwest research station
department of agriculture,128983666,us forest service pacific southwest research station
department of agriculture,60002418,us forest service pacific southwest research station
department of agriculture,123300874,us forest service pike san isabel national forests and cimarron and comanche national grasslands in pueblo
department of agriculture,106007127,us forest service pnw research station
department of agriculture,126190109,us forest service pnw research station
department of agriculture,128411730,us forest service psw research station
department of agriculture,119310130,us forest service region 5 remote sensing laboratory
department of agriculture,123323714,us forest service retired
department of agriculture,127837101,us forest service retired
